ruta,veredicto,verbos,escribe,service_role,acepta_id_por_parametro
/api/academic/assignments,SIN AUTENTICACIÓN,POST,sí,sí,no
/api/academic/assignments/[id],SIN AUTENTICACIÓN,DELETE,sí,sí,no
/api/academic/courses,SIN AUTENTICACIÓN,POST,sí,sí,no
/api/academic/courses/[id],SIN AUTENTICACIÓN,PATCH/DELETE,sí,sí,no
/api/academic/credentials,SIN AUTENTICACIÓN,GET/PATCH,sí,sí,no
/api/academic/credentials/evaluate/[id],SIN AUTENTICACIÓN,POST,sí,sí,no
/api/academic/credentials/report/[id],SIN AUTENTICACIÓN,GET,no,sí,no
/api/academic/offerings,SIN AUTENTICACIÓN,GET/POST,sí,sí,no
/api/academic/offerings/[id],SIN AUTENTICACIÓN,PATCH/DELETE,sí,sí,no
/api/academic/programs,SIN AUTENTICACIÓN,GET/POST,sí,sí,no
/api/academic/programs/[id],SIN AUTENTICACIÓN,PATCH/DELETE,sí,sí,no
/api/academic/programs/apply-partner,SIN AUTENTICACIÓN,POST,sí,no,no
/api/academic/schedules,SIN AUTENTICACIÓN,GET,no,sí,no
/api/academic/semesters,SIN AUTENTICACIÓN,GET/POST,sí,sí,no
/api/academic/semesters/[id],SIN AUTENTICACIÓN,PATCH/DELETE,sí,sí,no
/api/academic/years,SIN AUTENTICACIÓN,GET/POST,sí,sí,no
/api/academic/years/[id],SIN AUTENTICACIÓN,PATCH/DELETE,sí,sí,no
/api/auth/signout,SIN AUTENTICACIÓN,POST,sí,no,no
/api/chat,SIN AUTENTICACIÓN,POST,sí,sí,no
/api/chat/student,SIN AUTENTICACIÓN,POST,sí,sí,no
/api/contracts/instances/[id]/pdf,SIN AUTENTICACIÓN,POST,sí,sí,no
/api/contracts/send,SIN AUTENTICACIÓN,POST,sí,sí,no
/api/contracts/templates,SIN AUTENTICACIÓN,GET/POST,sí,sí,no
/api/contracts/templates/[id],SIN AUTENTICACIÓN,GET/PATCH/DELETE,sí,sí,no
/api/convenios,SIN AUTENTICACIÓN,GET/POST/DELETE,sí,sí,no
/api/convenios/matriculas,SIN AUTENTICACIÓN,GET/POST/DELETE,sí,sí,no
/api/convenios/upload,SIN AUTENTICACIÓN,POST,sí,sí,no
/api/google/oauth/callback,SIN AUTENTICACIÓN,GET,no,no,no
/api/hr/capacitacion-participantes,SIN AUTENTICACIÓN,GET/POST/DELETE,sí,sí,no
/api/hr/capacitaciones,SIN AUTENTICACIÓN,GET/POST/DELETE,sí,sí,no
/api/inbox/survey,SIN AUTENTICACIÓN,GET,no,sí,no
