aula,resolucion,situacion,coleccion,codigo,asignatura,programa,notas_existentes,con_nota,de_systemactiva,editadas_a_mano,acta_cerrada,conflicto_con_oferta
4,OK,NUEVA,BBA Full EN,ENG 101,English Composition I,Bachelor of Science in Business Administration,621,311,621,0,0,
5,OK,NUEVA,BBA Full EN,COM 102,Interpersonal Communication,Bachelor of Science in Business Administration,31,26,30,1,0,
7,OK,NUEVA,BAC Full EN,ENG 101,English Composition I,Bachelor of Arts in Accounting,132,100,132,0,0,
8,OK,NUEVA,BBA Full EN,ECT 103,Ethics and Critical Thinking,Bachelor of Science in Business Administration,363,308,351,3,1,
10,OK,NUEVA,BBA Full EN,STA 104,Statistical Methods,Bachelor of Science in Business Administration,30,25,30,0,0,
11,OK,NUEVA,BBA Full EN,ALG 105,College Algebra I,Bachelor of Science in Business Administration,31,28,30,0,0,
12,OK,NUEVA,,PSY 106,General Psychology,Bachelor of Science in Business Administration,601,548,597,0,1,
13,OK,NUEVA,BBA Full EN,MIC 108,Microeconomics,Bachelor of Science in Business Administration,37,33,36,1,0,
14,OK,NUEVA,BBA Full EN,CIS 109,Computer Science I,Bachelor of Science in Business Administration,30,27,30,0,0,
15,OK,NUEVA,BBA Full EN,ACC 210,Principles of Managerial Accounting,Bachelor of Science in Business Administration,32,24,32,0,0,
16,OK,NUEVA,BBA Full EN,BUS 290,Management of Organizations,Bachelor of Science in Business Administration,20,19,20,0,0,
18,OK,NUEVA,BBA Full EN,CIS 320,Computer Science II,Bachelor of Science in Business Administration,21,19,21,0,0,
19,OK,NUEVA,BBA Full EN,MAC 201,Macroeconomics,Bachelor of Science in Business Administration,20,18,20,0,0,
20,OK,NUEVA,BBA Full EN,HRM 280,Human Resource Management,Bachelor of Science in Business Administration,20,18,20,0,0,
21,OK,NUEVA,BBA Full EN,CBU 200,Calculus for Business,Bachelor of Science in Business Administration,20,15,20,0,0,
22,OK,NUEVA,BBA Full EN,FIN 320,Financial Mathematics,Bachelor of Science in Business Administration,20,16,20,0,0,
23,OK,NUEVA,BBA Full EN,MAR 330,Sales Management,Bachelor of Science in Business Administration,599,527,591,2,0,
24,OK,NUEVA,BBA Full EN,COM 450,Business and Professional Communication,Bachelor of Science in Business Administration,347,266,340,7,0,
25,OK,NUEVA,BBA Full EN,ENG 202,English Composition II,Bachelor of Science in Business Administration,340,257,340,0,0,
26,OK,NUEVA,BAC Full EN,ECT 103,Ethics and Critical Thinking,Bachelor of Arts in Accounting,80,66,79,1,1,
27,OK,NUEVA,BAC Full EN,ALG 105,College Algebra I,Bachelor of Arts in Accounting,3,1,3,0,0,
29,OK,NUEVA,BAC Full EN,ECO 207,Introduction to Economics,Bachelor of Arts in Accounting,3,0,3,0,0,
30,OK,NUEVA,BAC Full EN,CIS 109,Computer Science I,Bachelor of Arts in Accounting,3,0,3,0,0,
31,OK,NUEVA,BAC Full EN,ACC 230,Principles of Accounting I,Bachelor of Arts in Accounting,3,1,3,0,0,
32,OK,NUEVA,BAC Full EN,ARH 203,Latin American Art History,Bachelor of Arts in Accounting,138,107,135,0,0,
33,OK,NUEVA,BAC Full EN,BUS 201,Principles of Management,Bachelor of Arts in Accounting,77,68,77,0,0,
34,OK,NUEVA,BAC Full EN,ENG 202,English Composition II,Bachelor of Arts in Accounting,76,64,76,0,0,
35,OK,NUEVA,BBA Full EN,BUS 350,Public Administration,Bachelor of Science in Business Administration,350,222,344,1,0,
36,OK,NUEVA,BAC Full EN,COM 102,Interpersonal Communication,Bachelor of Arts in Accounting,74,47,74,0,0,
38,OK,NUEVA,BBA Full EN,MAN 370,Supply Chain Management,Bachelor of Science in Business Administration,343,303,333,3,1,
39,OK,NUEVA,BAC Full EN,SOC 204,Principles of Sociology,Bachelor of Arts in Accounting,134,91,131,2,0,
40,OK,NUEVA,BBA Full EN,BUS 250,Introduction to International Business,Bachelor of Science in Business Administration,16,10,16,0,0,
42,OK,NUEVA,BAC Full EN,COB 210,Computers for Business,Bachelor of Arts in Accounting,0,0,0,0,0,
43,OK,NUEVA,BBA Full EN,ACC 300,Accounting for Decision Makers,Bachelor of Science in Business Administration,16,10,16,0,0,
44,OK,NUEVA,BAC Full EN,ACC 350,Intermediate Financial Accounting I,Bachelor of Arts in Accounting,0,0,0,0,0,
